Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,MSPB,Experience_Star,Completed_Surveys,Recommend_Star,Readmission_Rate,Readmission_vs_National,HAI_SIR_Avg,HAI_SIR_Count,Region,Size_Proxy,Exp_n,Read_n,HAI_n,Quality,Quality_Components,Value_Score,Focus_Flag
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4.0,,4.0,952.0,5.0,15.1,No Different Than the National Rate,0.3302,5.0,South,Acute Care Hospitals,80.0,55.26315789473685,95.0203589202232,76.76117227165335,3,,Ok / review later
010005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,,3.0,705.0,3.0,13.3,No Different Than the National Rate,1.2610000000000001,5.0,South,Acute Care Hospitals,60.0,78.94736842105262,80.98326044337205,73.31020962147488,3,,Ok / review later
010006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,Acute Care Hospitals,Proprietary,Yes,2.0,,2.0,1814.0,2.0,15.9,No Different Than the National Rate,0.11166666666666665,6.0,South,Acute Care Hospitals,40.0,44.73684210526315,98.3159905494395,61.01761088490088,3,,Ok / review later
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,,,97.0,,15.4,No Different Than the National Rate,0.939,1.0,South,Acute Care Hospitals,,51.315789473684205,85.83923993364499,68.5775147036646,2,,Ok / review later
010011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,,3.0,887.0,3.0,14.6,No Different Than the National Rate,0.4662,5.0,South,Acute Care Hospitals,60.0,61.8421052631579,92.96938621625698,71.60383049313829,3,,Ok / review later
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,Acute Care Hospitals,Proprietary,Yes,2.0,,2.0,265.0,3.0,15.1,No Different Than the National Rate,0.6735,2.0,South,Acute Care Hospitals,40.0,55.26315789473685,89.84316091087318,61.70210626853668,3,,Ok / review later
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,,2.0,881.0,3.0,14.0,No Different Than the National Rate,0.6412,5.0,South,Acute Care Hospitals,40.0,69.73684210526315,90.33026692806516,66.68903634444277,3,,Ok / review later
010018,UAB CALLAHAN EYE HOSPITAL AUTHORITY,1720 UNIVERSITY BLVD STE 305,BIRMINGHAM,AL,35233,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,,,52.0,,,Number of Cases Too Small,,,South,Acute Care Hospitals,,,,,0,,Ok / review later
010019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0,,4.0,413.0,5.0,16.0,No Different Than the National Rate,0.6087999999999999,5.0,South,Acute Care Hospitals,80.0,43.42105263157895,90.81888101342182,71.41331121500026,3,,Ok / review later
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,,69.0,,14.8,No Different Than the National Rate,0.786,1.0,South,Acute Care Hospitals,,59.21052631578946,88.146584225607,73.67855527069823,2,,Ok / review later
