Facility ID,Facility Name,State,Region,Hospital Ownership,Hospital Type,Experience_Star,Readmission_Rate,HAI_SIR_Avg,MSPB,Quality,Value_Score,Focus_Flag
330395,ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,NY,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,1.0,18.2,1.02925,1.16,39.65063087518223,34.18157834067434,High spend / low experience
450694,EL CAMPO MEMORIAL HOSPITAL,TX,South,Voluntary non-profit - Other,Acute Care Hospitals,1.0,14.7,,1.13,40.26315789473685,35.63111318118305,High spend / low experience
310083,CAREWELL HEALTH MEDICAL CENTER,NJ,Northeast,Proprietary,Acute Care Hospitals,1.0,16.1,0.9115,1.29,49.453073945609,38.3357162369062,High spend / low experience
100029,NORTH SHORE MEDICAL CENTER,FL,South,Proprietary,Acute Care Hospitals,1.0,17.5,0.6555000000000001,1.14,44.59960790227719,39.12246307217298,High spend / low experience
330006,ST JOSEPH'S MEDICAL CENTER,NY,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,1.0,15.2,0.9250000000000002,1.26,53.332579299250995,42.32744388829444,High spend / low experience
330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",NY,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,1.0,16.8,0.37633333333333335,1.15,49.073124549674084,42.672282217107906,High spend / low experience
190086,NORTHERN LOUISIANA MEDICAL CENTER,LA,South,Proprietary,Acute Care Hospitals,1.0,14.7,0.73,1.32,56.50580606243403,42.8074288351773,High spend / low experience
140068,ROSELAND COMMUNITY HOSPITAL,IL,Midwest,Voluntary non-profit - Private,Acute Care Hospitals,1.0,15.9,1.17,1.13,49.03081485949832,43.390101645573736,High spend / low experience
310092,CAPITAL HEALTH REGIONAL MEDICAL CENTER,NJ,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,1.0,15.6,0.5856,1.2,53.2843211179812,44.403600931651,High spend / low experience
330056,BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,NY,Northeast,Voluntary non-profit - Other,Acute Care Hospitals,1.0,16.4,0.5986,1.11,49.710199567687134,44.78396357449291,High spend / low experience
100224,UNIVERSITY HOSPITAL AND MEDICAL CENTER,FL,South,Proprietary,Acute Care Hospitals,1.0,16.3,0.20125,1.16,52.14623234303523,44.9536485715821,High spend / low experience
310040,CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER,NJ,Northeast,Voluntary non-profit - Church,Acute Care Hospitals,1.0,14.9,1.2405,1.17,53.06238375307897,45.352464746221344,High spend / low experience
310016,HEIGHTS UNIVERSITY HOSPITAL,NJ,Northeast,Voluntary non-profit - Church,Acute Care Hospitals,2.0,14.8,2.2726666666666664,1.2,54.97905460882387,45.815878840686565,High spend / low experience
310025,CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,NJ,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,1.0,15.7,0.0,1.18,55.78947368421053,47.279214986619095,High spend / low experience
450222,HCA HOUSTON HEALTHCARE CONROE,TX,South,Proprietary,Acute Care Hospitals,2.0,16.9,0.4772,1.15,54.794148695521045,47.64708582219222,High spend / low experience
100050,LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS,FL,South,Voluntary non-profit - Private,Acute Care Hospitals,2.0,14.7,1.1380000000000001,1.26,61.12150002513448,48.50912700407498,High spend / low experience
290021,VALLEY HOSPITAL MEDICAL CENTER,NV,West,Proprietary,Acute Care Hospitals,2.0,16.9,0.4208,1.13,55.077665510481076,48.741296911930164,High spend / low experience
450651,MEDICAL CITY PLANO,TX,South,Proprietary,Acute Care Hospitals,2.0,16.5,0.48566666666666664,1.11,56.50597362556343,50.906282545552635,High spend / low experience
100183,CORAL GABLES HOSPITAL,FL,South,Proprietary,Acute Care Hospitals,2.0,15.8,0.486,1.17,59.57447343286583,50.91835336142379,High spend / low experience
670053,ST LUKE'S SUGAR LAND HOSPITAL,TX,South,Voluntary non-profit - Private,Acute Care Hospitals,2.0,15.5,0.7362500000000001,1.16,59.63228271251194,51.407140269406845,High spend / low experience
250084,MERIT HEALTH NATCHEZ,MS,South,Proprietary,Acute Care Hospitals,2.0,15.5,0.5785,1.17,60.42527522244006,51.6455343781539,High spend / low experience
140275,GENESIS HLTH SYSTEM DBA GENESIS MDL CTR-ILLINI,IL,Midwest,Government - Local,Acute Care Hospitals,2.0,14.9,1.71,1.11,57.3689237420198,51.68371508290072,High spend / low experience
330184,MONTEFIORE NEW ROCHELLE HOSPITAL,NY,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,2.0,15.3,1.2545,1.11,57.904287940481574,52.166025171605014,High spend / low experience
310009,CLARA MAASS MEDICAL CENTER,NJ,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,2.0,16.1,0.22879999999999998,1.14,59.5516010657015,52.238246548860964,High spend / low experience
450730,CARROLLTON REGIONAL MEDICAL CENTER,TX,South,Proprietary,Acute Care Hospitals,2.0,16.5,0.0775,1.12,58.5577841451767,52.28373584390776,High spend / low experience
290003,SUNRISE HOSPITAL AND MEDICAL CENTER,NV,West,Proprietary,Acute Care Hospitals,2.0,15.4,0.3481666666666667,1.18,62.021732937884344,52.560790625325716,High spend / low experience
100053,HIALEAH HOSPITAL,FL,South,Proprietary,Acute Care Hospitals,2.0,15.8,0.01975,1.17,61.918262705474284,52.92159205596093,High spend / low experience
360172,MERCY REGIONAL MEDICAL CENTER,OH,Midwest,Voluntary non-profit - Private,Acute Care Hospitals,2.0,15.3,0.46825,1.16,61.85668325541648,53.32472694432455,High spend / low experience
390137,WILKES-BARRE GENERAL HOSPITAL,PA,Northeast,Proprietary,Acute Care Hospitals,2.0,15.0,0.37320000000000003,1.18,63.65027899261046,53.94091440051734,High spend / low experience
450097,HCA HOUSTON HEALTHCARE SOUTHEAST,TX,South,Proprietary,Acute Care Hospitals,2.0,15.6,0.594,1.11,59.9087618760368,53.97185754597909,High spend / low experience
310119,THE UNIVERSITY HOSPITAL,NJ,Northeast,Government - State,Acute Care Hospitals,2.0,15.6,0.5778000000000001,1.11,59.99019755692958,54.04522302426088,High spend / low experience
450330,OAKBEND MEDICAL CENTER,TX,South,Government - Hospital District or Authority,Acute Care Hospitals,2.0,16.1,0.0,1.12,60.701754385964904,54.19799498746866,High spend / low experience
310041,COMMUNITY MEDICAL CENTER,NJ,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,2.0,15.7,0.23533333333333337,1.13,61.273144657249624,54.22402182057489,High spend / low experience
100086,BROWARD HEALTH NORTH,FL,South,Government - Hospital District or Authority,Acute Care Hospitals,2.0,15.7,0.4298,1.11,60.29558136027748,54.320343567817545,High spend / low experience
290005,NORTH VISTA HOSPITAL,NV,West,Voluntary non-profit - Private,Acute Care Hospitals,2.0,15.8,0.012,1.14,61.957221133061886,54.34843959040517,High spend / low experience
330086,MONTEFIORE MOUNT VERNON HOSPITAL,NY,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,2.0,14.9,0.0,1.21,65.96491228070175,54.51645643033203,High spend / low experience
100032,ORLANDO HEALTH BAYFRONT HOSPITAL,FL,South,Voluntary non-profit - Private,Acute Care Hospitals,2.0,15.8,0.2801666666666667,1.11,60.60917575696644,54.6028610423121,High spend / low experience
450092,FORT DUNCAN MEDICAL CENTER,TX,South,Proprietary,Acute Care Hospitals,2.0,15.0,0.0,1.2,65.52631578947368,54.60526315789474,High spend / low experience
390036,HERITAGE VALLEY BEAVER,PA,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,2.0,14.5,1.0728,1.14,62.32644648871462,54.67232148132862,High spend / low experience
450670,HCA HOUSTON HEALTHCARE TOMBALL,TX,South,Proprietary,Acute Care Hospitals,2.0,15.6,0.2846,1.12,61.46408284321118,54.87864539572426,High spend / low experience
450082,CHRISTUS SPOHN HOSPITAL BEEVILLE,TX,South,Voluntary non-profit - Private,Acute Care Hospitals,2.0,15.4,0.0,1.16,63.771929824561404,54.975801572897765,High spend / low experience
390004,PENN STATE HEALTH HOLY SPIRIT MEDICAL CENTER,PA,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,2.0,15.3,0.5591999999999999,1.11,61.39948725682401,55.31485338452613,High spend / low experience
310002,NEWARK BETH ISRAEL MEDICAL CENTER,NJ,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,2.0,14.9,0.8628333333333332,1.11,61.62754067594966,55.52030691526996,High spend / low experience
450469,WILSON N JONES REGIONAL MEDICAL CENTER,TX,South,Proprietary,Acute Care Hospitals,2.0,14.6,0.427,1.15,65.13421806665662,56.63845049274489,High spend / low experience
310118,HUDSON REGIONAL HOSPITAL,NJ,Northeast,Proprietary,Acute Care Hospitals,2.0,15.3,0.18,1.11,63.30568541698085,57.03214902430707,High spend / low experience
310039,RARITAN BAY MEDICAL CENTER,NJ,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,2.0,15.0,0.39180000000000004,1.11,63.556778766400235,57.25835924900922,High spend / low experience
450518,THE MEDICAL CENTER OF SOUTHEAST TEXAS,TX,South,Physician,Acute Care Hospitals,2.0,15.2,0.191,1.11,63.68898607550395,57.37746493288643,High spend / low experience
440033,LAFOLLETTE MEDICAL CENTER,TN,South,Voluntary non-profit - Church,Acute Care Hospitals,2.0,14.4,0.739,1.11,64.44302015784446,58.056774916976984,High spend / low experience
450209,NORTHWEST TEXAS HOSPITAL,TX,South,Voluntary non-profit - Private,Acute Care Hospitals,2.0,14.2,0.6436666666666667,1.13,65.79944369041037,58.22959618620387,High spend / low experience
390073,UPMC ALTOONA,PA,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,2.0,14.5,0.4378,1.12,65.51852410395617,58.49868223567515,High spend / low experience
310027,TRINITAS REGIONAL MEDICAL CENTER,NJ,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,2.0,14.3,0.10774999999999998,1.11,68.05484341225555,61.31066974077076,High spend / low experience
230071,STRAITH HOSPITAL FOR SPECIAL SURGERY,MI,Midwest,Voluntary non-profit - Private,Acute Care Hospitals,,18.5,,1.01,10.526315789473692,10.42209484106306,Low value (bottom 20%)
450641,NOCONA GENERAL HOSPITAL,TX,South,Government - Hospital District or Authority,Acute Care Hospitals,,15.9,,1.22,44.73684210526315,36.66954270923209,Low value (bottom 20%)
450370,COLUMBUS COMMUNITY HOSPITAL,TX,South,Voluntary non-profit - Private,Acute Care Hospitals,3.0,14.9,,1.42,58.94736842105263,41.51223128243143,Low value (bottom 20%)
230301,SURGEONS CHOICE MEDICAL CENTER,MI,Midwest,Proprietary,Acute Care Hospitals,,15.9,,1.06,44.73684210526315,42.20456802383316,Low value (bottom 20%)
250049,BEACHAM MEMORIAL HOSPITAL,MS,South,Proprietary,Acute Care Hospitals,,15.6,,1.15,48.684210526315795,42.33409610983983,Low value (bottom 20%)
450253,BELLVILLE MEDICAL CENTER,TX,South,Government - Hospital District or Authority,Acute Care Hospitals,,15.6,,1.13,48.684210526315795,43.083372147182125,Low value (bottom 20%)
370100,CHOCTAW MEMORIAL HOSPITAL,OK,South,Voluntary non-profit - Other,Acute Care Hospitals,,15.2,,1.25,53.947368421052644,43.15789473684212,Low value (bottom 20%)
180154,"PINEVILLE COMMUNITY HEALTH CENTER, INC",KY,South,Voluntary non-profit - Private,Acute Care Hospitals,,14.9,,1.33,57.89473684210525,43.52987732489117,Low value (bottom 20%)
180046,BOURBON COMMUNITY HOSPITAL,KY,South,Proprietary,Acute Care Hospitals,,15.2,,1.22,53.947368421052644,44.21915444348578,Low value (bottom 20%)
220073,BROWN UNIVERSITY HEALTH MORTON HOSPITAL,MA,Northeast,Proprietary,Acute Care Hospitals,1.0,16.7,1.26675,1.01,45.035690946564124,44.58979301640012,Low value (bottom 20%)
450235,MEMORIAL HOSPITAL,TX,South,Government - Hospital District or Authority,Acute Care Hospitals,,15.3,,1.17,52.63157894736841,44.984255510571295,Low value (bottom 20%)
330027,NASSAU UNIVERSITY MEDICAL CENTER,NY,Northeast,Government - State,Acute Care Hospitals,1.0,16.7,0.46825,1.09,49.049665711556834,44.99969331335489,Low value (bottom 20%)
190099,AVOYELLES HOSPITAL,LA,South,Proprietary,Acute Care Hospitals,,15.1,,1.22,55.26315789473685,45.297670405522005,Low value (bottom 20%)
100071,TAMPA GENERAL HOSPITAL BROOKSVILLE,FL,South,Voluntary non-profit - Church,Acute Care Hospitals,1.0,16.8,0.7577999999999999,1.04,47.155532096717444,45.34185778530523,Low value (bottom 20%)
190190,"CALDWELL MEMORIAL HOSPITAL, INC",LA,South,Proprietary,Acute Care Hospitals,,15.5,,1.1,50.0,45.45454545454545,Low value (bottom 20%)
190245,MONROE SURGICAL HOSPITAL,LA,South,Proprietary,Acute Care Hospitals,,15.2,,1.18,53.947368421052644,45.71810883140055,Low value (bottom 20%)
150102,NORTHWEST HEALTH - STARKE,IN,Midwest,Proprietary,Acute Care Hospitals,,15.5,,1.08,50.0,46.29629629629629,Low value (bottom 20%)
450775,HCA HOUSTON HEALTHCARE KINGWOOD,TX,South,Proprietary,Acute Care Hospitals,1.0,15.8,0.7588333333333335,1.1,51.536302551986466,46.85118413816951,Low value (bottom 20%)
190218,SABINE MEDICAL CENTER,LA,South,Proprietary,Acute Care Hospitals,,15.4,,1.09,51.315789473684205,47.07870593915982,Low value (bottom 20%)
670069,METHODIST MCKINNEY HOSPITAL,TX,South,Physician,Acute Care Hospitals,,15.4,,1.09,51.315789473684205,47.07870593915982,Low value (bottom 20%)
440183,ST FRANCIS HOSPITAL,TN,South,Proprietary,Acute Care Hospitals,1.0,16.3,0.7851666666666667,1.04,49.21094522361299,47.31821656116633,Low value (bottom 20%)
450108,CONNALLY MEMORIAL MEDICAL CENTER,TX,South,Government - Hospital District or Authority,Acute Care Hospitals,,15.3,,1.11,52.63157894736841,47.41583688952109,Low value (bottom 20%)
450241,FAITH COMMUNITY HOSPITAL,TX,South,Government - Hospital District or Authority,Acute Care Hospitals,,14.8,,1.24,59.21052631578946,47.7504244482173,Low value (bottom 20%)
330028,RICHMOND UNIVERSITY MEDICAL CENTER,NY,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,1.0,16.2,1.0595,1.01,48.27049715980496,47.79257144535145,Low value (bottom 20%)
220175,METROWEST MEDICAL CENTER,MA,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,1.0,15.8,1.1206666666666667,1.04,49.71740478225171,47.80519690601126,Low value (bottom 20%)
220080,HOLY FAMILY HOSPITAL,MA,Northeast,Proprietary,Acute Care Hospitals,1.0,15.8,0.8170000000000001,1.07,51.243904891167745,47.891499898287606,Low value (bottom 20%)
330194,MAIMONIDES MEDICAL CENTER,NY,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,2.0,17.2,0.8936666666666667,1.07,51.384825483000725,48.023201385981984,Low value (bottom 20%)
370245,CLINTON REGIONAL HOSPITAL,OK,South,Government - Local,Acute Care Hospitals,,15.5,,1.04,50.0,48.07692307692307,Low value (bottom 20%)
230020,BEAUMONT HOSPITAL - DEARBORN,MI,Midwest,Voluntary non-profit - Private,Acute Care Hospitals,1.0,15.5,1.2025,1.05,50.62182677323682,48.211263593558876,Low value (bottom 20%)
440063,JOHNSON CITY MEDICAL CENTER,TN,South,Voluntary non-profit - Private,Acute Care Hospitals,1.0,15.5,1.0862,1.06,51.20645453174484,48.307975973344185,Low value (bottom 20%)
440238,HAYWOOD COUNTY COMMUNITY HOSPITAL,TN,South,Proprietary,Acute Care Hospitals,,15.4,,1.06,51.315789473684205,48.4111221449851,Low value (bottom 20%)
140049,WEST SUBURBAN MEDICAL CENTER,IL,Midwest,Voluntary non-profit - Other,Acute Care Hospitals,1.0,16.0,1.621,0.95,46.32508922736641,48.76325181828044,Low value (bottom 20%)
510093,MON HEALTH MARION,WV,South,Voluntary non-profit - Private,Acute Care Hospitals,,15.1,,1.13,55.26315789473685,48.9054494643689,Low value (bottom 20%)
100189,HCA FLORIDA NORTHWEST HOSPITAL,FL,South,Proprietary,Acute Care Hospitals,1.0,16.7,0.37966666666666665,1.01,49.49496472796127,49.00491557223888,Low value (bottom 20%)
390211,SHARON REGIONAL MEDICAL CENTER,PA,Northeast,Proprietary,Acute Care Hospitals,,15.7,,0.96,47.36842105263159,49.342105263157904,Low value (bottom 20%)
420019,MUSC HEALTH CHESTER MEDICAL CENTER,SC,South,Proprietary,Acute Care Hospitals,2.0,14.6,,1.03,50.921052631578945,49.43791517629024,Low value (bottom 20%)
150166,PINNACLE HOSPITAL,IN,Midwest,Physician,Acute Care Hospitals,,15.3,,1.06,52.63157894736841,49.65243296921548,Low value (bottom 20%)
450672,MEDICAL CITY FORT WORTH,TX,South,Proprietary,Acute Care Hospitals,2.0,16.9,0.6096,1.09,54.12858794550848,49.65925499587934,Low value (bottom 20%)
100236,HCA FLORIDA FAWCETT HOSPITAL,FL,South,Proprietary,Acute Care Hospitals,1.0,16.6,0.5094,0.99,49.28140551952947,49.77919749447421,Low value (bottom 20%)
